Date,Recession,AORD_monthly_adj_closed,10Y_Bond_Yields,3M_Bond_Yields,3M_10Y_Treasury_Spread,Unemployment_Rate
2/1/2020,0,6511.5,0.98,0.89,9%,5.097311
1/1/2020,0,7121.200195,1.15,0.89,26%,5.290084
12/1/2019,0,6802.399902,1.2,0.9,30%,5.062629
11/1/2019,0,6948,1.15,0.91,24%,5.17134
10/1/2019,1,6772.899902,1.03,0.88,15%,5.302068
9/1/2019,1,6800.600098,1.03,0.98,5%,5.18702
8/1/2019,1,6698.200195,0.95,0.98,-3%,5.25695
7/1/2019,1,6896.700195,1.31,1.11,20%,5.247816
6/1/2019,1,6699.200195,1.38,1.29,9%,5.252778
5/1/2019,1,6491.799805,1.65,1.54,11%,5.208134
4/1/2019,1,6418.399902,1.86,1.68,18%,5.222102
3/1/2019,1,6261.700195,1.96,1.83,13%,5.085307
2/1/2019,1,6252.700195,2.13,1.96,17%,4.957836
1/1/2019,1,5937.299805,2.27,2.07,20%,5.051192
12/1/2018,1,5709.399902,2.43,2.02,41%,5.01015
11/1/2018,1,5749.299805,2.68,1.94,74%,5.110775
10/1/2018,1,5913.299805,2.68,1.93,75%,4.99948
9/1/2018,1,6325.5,2.63,1.93,70%,5.001509
8/1/2018,1,6427.799805,2.59,1.96,63%,5.262721
7/1/2018,1,6366.200195,2.64,2.02,62%,5.2706
6/1/2018,1,6289.700195,2.7,2.07,63%,5.317854
5/1/2018,1,6123.5,2.79,1.96,83%,5.391617
4/1/2018,1,6071.600098,2.74,2.06,68%,5.539109
3/1/2018,0,5868.899902,2.72,1.93,79%,5.509803
2/1/2018,0,6117.299805,2.86,1.77,109%,5.557419
1/1/2018,0,6146.5,2.75,1.79,96%,5.508025
12/1/2017,0,6167.299805,2.58,1.77,81%,5.61135
11/1/2017,0,6023.5,2.57,1.72,85%,5.42456
10/1/2017,0,5976.399902,2.78,1.7,108%,5.364695
9/1/2017,0,5744.899902,2.7,1.72,98%,5.435569
8/1/2017,0,5776.299805,2.6,1.7,90%,5.509094
7/1/2017,0,5773.899902,2.64,1.7,94%,5.577133
6/1/2017,0,5764,2.41,1.72,69%,5.596911
5/1/2017,0,5761.299805,2.54,1.73,81%,5.540761
4/1/2017,0,5947.600098,2.56,1.77,79%,5.616535
3/1/2017,0,5903.799805,2.81,1.79,102%,5.846475
2/1/2017,0,5761,2.75,1.78,97%,5.837279
1/1/2017,0,5675,2.73,1.78,95%,5.68576
12/1/2016,0,5719.100098,2.79,1.78,101%,5.834194
11/1/2016,0,5502.399902,2.51,1.76,75%,5.766451
10/1/2016,0,5402.399902,2.2,1.75,45%,5.583037
9/1/2016,0,5525.200195,1.99,1.73,26%,5.635887
8/1/2016,0,5529.399902,1.88,1.76,12%,5.60361
7/1/2016,0,5644,1.93,1.93,0%,5.682055
6/1/2016,0,5310.399902,2.12,1.99,13%,5.693605
5/1/2016,0,5447.799805,2.32,2.01,31%,5.719502
4/1/2016,0,5316,2.52,2.26,26%,5.644528
3/1/2016,0,5151.799805,2.57,2.31,26%,5.645683
2/1/2016,0,4947.899902,2.48,2.28,20%,5.671946
1/1/2016,0,5056.600098,2.73,2.3,43%,6.024417
12/1/2015,0,5344.600098,2.85,2.34,51%,5.746018
11/1/2015,0,5218.200195,2.85,2.22,63%,5.857026
10/1/2015,0,5288.600098,2.62,2.15,47%,5.918715
9/1/2015,0,5058.600098,2.7,2.17,53%,6.155605
8/1/2015,0,5222.100098,2.72,2.14,58%,6.082073
7/1/2015,0,5681.700195,2.9,2.14,76%,6.264954
6/1/2015,0,5451.200195,2.98,2.15,83%,6.008567
5/1/2015,1,5774.899902,2.88,2.15,73%,5.931108
4/1/2015,1,5773.700195,2.41,2.25,16%,6.112174
3/1/2015,1,5861.899902,2.48,2.3,18%,6.093677
2/1/2015,1,5898.5,2.5,2.36,14%,6.119044
1/1/2015,1,5551.600098,2.64,2.7,-6%,6.33836
12/1/2014,1,5388.600098,2.96,2.75,21%,6.10679
11/1/2014,1,5298.100098,3.26,2.75,51%,6.299154
10/1/2014,1,5505,3.32,2.72,60%,6.364821
9/1/2014,1,5296.799805,3.55,2.66,89%,6.221949
8/1/2014,1,5624.600098,3.41,2.63,78%,6.083214
7/1/2014,1,5623.100098,3.47,2.65,82%,6.16759
6/1/2014,1,5382,3.7,2.7,100%,6.049263
5/1/2014,1,5473.799805,3.78,2.69,109%,5.930426
4/1/2014,1,5470.799805,4.03,2.68,135%,5.804337
3/1/2014,1,5403,4.1,2.66,144%,5.868748
2/1/2014,1,5415.399902,4.12,2.63,149%,5.902262
1/1/2014,1,5205.100098,4.18,2.62,156%,5.934184
12/1/2013,1,5353.100098,4.24,2.61,163%,5.901495
11/1/2013,1,5314.299805,4.13,2.59,154%,5.79594
10/1/2013,1,5420.299805,3.97,2.58,139%,5.826667
9/1/2013,1,5217.700195,4,2.58,142%,5.703469
8/1/2013,1,5125.299805,3.86,2.6,126%,5.819843
7/1/2013,1,5035.700195,3.75,2.76,99%,5.624772
6/1/2013,1,4775.399902,3.54,2.8,74%,5.696844
5/1/2013,1,4914,3.225,2.82,41%,5.611278
4/1/2013,1,5168.600098,3.245,3.02,23%,5.58765
3/1/2013,1,4979.899902,3.5125,3.05,46%,5.635366
2/1/2013,1,5120.399902,3.4975,2.95,55%,5.429045
1/1/2013,1,4901,3.3975,3,40%,5.385775
12/1/2012,1,4664.600098,3.2275,3.11,12%,5.433113
11/1/2012,1,4518,3.0875,3.24,-15%,5.254923
10/1/2012,1,4535.399902,3.0225,3.16,-14%,5.413401
9/1/2012,1,4406.299805,3.0925,3.49,-40%,5.487518
