Date,AORD_monthly_adj_closed,10Y_Bond_Yields,3M_Bond_Yields,3M_10Y_Treasury_Spread,Unemployment_Rate,Recession,Recession_within_6M,Recession_within_12M,Recession_within_24M
2/01/2020,6511.5,0.98,0.89,0.09,5.097311,0,0,0,0
1/01/2020,7121.200195,1.15,0.89,0.26,5.290084,0,0,0,0
12/01/2019,6802.399902,1.2,0.9,0.3,5.062629,0,0,0,0
11/01/2019,6948,1.15,0.91,0.24,5.17134,0,0,0,0
10/01/2019,6772.899902,1.03,0.88,0.15,5.302068,1,0,0,0
9/01/2019,6800.600098,1.03,0.98,0.05,5.18702,1,0,0,0
8/01/2019,6698.200195,0.95,0.98,-0.03,5.25695,1,0,0,0
7/01/2019,6896.700195,1.31,1.11,0.2,5.247816,1,0,0,0
6/01/2019,6699.200195,1.38,1.29,0.09,5.252778,1,0,0,0
5/01/2019,6491.799805,1.65,1.54,0.11,5.208134,1,0,0,0
4/01/2019,6418.399902,1.86,1.68,0.18,5.222102,1,1,0,0
3/01/2019,6261.700195,1.96,1.83,0.13,5.085307,1,1,0,0
2/01/2019,6252.700195,2.13,1.96,0.17,4.957836,1,1,0,0
1/01/2019,5937.299805,2.27,2.07,0.2,5.051192,1,1,0,0
12/01/2018,5709.399902,2.43,2.02,0.41,5.01015,1,1,0,0
11/01/2018,5749.299805,2.68,1.94,0.74,5.110775,1,1,0,0
10/01/2018,5913.299805,2.68,1.93,0.75,4.99948,1,1,1,0
9/01/2018,6325.5,2.63,1.93,0.7,5.001509,1,1,1,0
8/01/2018,6427.799805,2.59,1.96,0.63,5.262721,1,1,1,0
7/01/2018,6366.200195,2.64,2.02,0.62,5.2706,1,1,1,0
6/01/2018,6289.700195,2.7,2.07,0.63,5.317854,1,1,1,0
5/01/2018,6123.5,2.79,1.96,0.83,5.391617,1,1,1,0
4/01/2018,6071.600098,2.74,2.06,0.68,5.539109,1,1,1,0
3/01/2018,5868.899902,2.72,1.93,0.79,5.509803,0,1,1,0
2/01/2018,6117.299805,2.86,1.77,1.09,5.557419,0,1,1,0
1/01/2018,6146.5,2.75,1.79,0.96,5.508025,0,1,1,0
12/01/2017,6167.299805,2.58,1.77,0.81,5.61135,0,1,1,0
11/01/2017,6023.5,2.57,1.72,0.85,5.42456,0,1,1,0
10/01/2017,5976.399902,2.78,1.7,1.08,5.364695,0,1,1,1
9/01/2017,5744.899902,2.7,1.72,0.98,5.435569,0,0,1,1
8/01/2017,5776.299805,2.6,1.7,0.9,5.509094,0,0,1,1
7/01/2017,5773.899902,2.64,1.7,0.94,5.577133,0,0,1,1
6/01/2017,5764,2.41,1.72,0.69,5.596911,0,0,1,1
5/01/2017,5761.299805,2.54,1.73,0.81,5.540761,0,0,1,1
4/01/2017,5947.600098,2.56,1.77,0.79,5.616535,0,0,1,1
3/01/2017,5903.799805,2.81,1.79,1.02,5.846475,0,0,0,1
2/01/2017,5761,2.75,1.78,0.97,5.837279,0,0,0,1
1/01/2017,5675,2.73,1.78,0.95,5.68576,0,0,0,1
12/01/2016,5719.100098,2.79,1.78,1.01,5.834194,0,0,0,1
11/01/2016,5502.399902,2.51,1.76,0.75,5.766451,0,0,0,1
10/01/2016,5402.399902,2.2,1.75,0.45,5.583037,0,0,0,1
9/01/2016,5525.200195,1.99,1.73,0.26,5.635887,0,0,0,1
8/01/2016,5529.399902,1.88,1.76,0.12,5.60361,0,0,0,1
7/01/2016,5644,1.93,1.93,0,5.682055,0,0,0,1
6/01/2016,5310.399902,2.12,1.99,0.13,5.693605,0,0,0,1
5/01/2016,5447.799805,2.32,2.01,0.31,5.719502,0,0,0,1
4/01/2016,5316,2.52,2.26,0.26,5.644528,0,0,0,1
3/01/2016,5151.799805,2.57,2.31,0.26,5.645683,0,0,0,0
2/01/2016,4947.899902,2.48,2.28,0.2,5.671946,0,0,0,0
1/01/2016,5056.600098,2.73,2.3,0.43,6.024417,0,0,0,0
12/01/2015,5344.600098,2.85,2.34,0.51,5.746018,0,0,0,0
