Date,Non-farm_Payrolls,Civilian_Unemployment_Rate,Effective_Fed_Funds,CPI_All_Items,10Y_Treasury_Rate,5Y_Treasury_Rate,3_Month_T-Bill_Rate,IPI,S&P_500_Index
2020-02-01,152487.0,3.5,1.58,259.05,1.5,1.32,1.52,109.6035,2954.219971
2020-01-01,152212.0,3.6,1.55,258.82,1.76,1.56,1.52,108.9993,3225.52002
2019-12-01,151998.0,3.5,1.55,258.444,1.86,1.68,1.54,109.5587,3230.780029
2019-11-01,151814.0,3.5,1.55,257.824,1.81,1.64,1.54,110.026,3140.97998
2019-10-01,151553.0,3.6,1.83,257.229,1.71,1.53,1.65,109.0103,3037.560059
2019-09-01,151368.0,3.5,2.04,256.593,1.7,1.57,1.89,109.4725,2976.73999
2019-08-01,151160.0,3.7,2.13,256.294,1.63,1.49,1.95,109.8543,2926.459961
2019-07-01,150953.0,3.7,2.4,256.087,2.06,1.83,2.1,109.0852,2980.3798829999996
2019-06-01,150759.0,3.7,2.38,255.402,2.07,1.83,2.17,109.2774,2941.76001
2019-05-01,150577.0,3.6,2.39,255.167,2.4,2.19,2.35,109.2264,2752.060059
2019-04-01,150492.0,3.6,2.42,254.943,2.53,2.33,2.38,108.9888,2945.830078
2019-03-01,150282.0,3.8,2.41,254.095,2.57,2.37,2.4,109.6811,2834.399902
2019-02-01,150135.0,3.8,2.4,253.181,2.68,2.49,2.39,109.5631,2784.48999
2019-01-01,150134.0,4.0,2.4,252.55,2.71,2.54,2.37,110.1185,2704.100098
2018-12-01,149865.0,3.9,2.27,252.653,2.83,2.68,2.37,110.5516,2506.850098
2018-11-01,149683.0,3.7,2.2,252.662,3.12,2.95,2.33,110.5067,2760.169922
2018-10-01,149549.0,3.8,2.19,252.777,3.15,3.0,2.25,109.9165,2711.73999
2018-09-01,149348.0,3.7,1.95,252.261,3.0,2.89,2.13,109.6749,2913.97998
2018-08-01,149268.0,3.8,1.91,251.905,2.89,2.77,2.03,109.5246,2901.52002
2018-07-01,149024.0,3.8,1.91,251.482,2.89,2.78,1.96,108.652,2816.290039
2018-06-01,148888.0,4.0,1.82,251.176,2.91,2.78,1.9,108.1707,2718.3701170000004
2018-05-01,148669.0,3.8,1.7,250.64,2.98,2.82,1.86,107.3639,2705.27002
2018-04-01,148391.0,4.0,1.69,249.957,2.87,2.7,1.76,108.2223,2648.050049
2018-03-01,148254.0,4.0,1.51,249.413,2.84,2.63,1.7,107.2519,2640.8701170000004
2018-02-01,148078.0,4.1,1.42,249.475,2.86,2.6,1.57,106.6419,2713.830078
2018-01-01,147672.0,4.1,1.41,248.816,2.58,2.38,1.41,106.2655,2823.810059
2017-12-01,147551.0,4.1,1.3,247.847,2.4,2.18,1.32,106.536,2673.610107
2017-11-01,147421.0,4.2,1.16,247.333,2.35,2.05,1.23,106.193,2584.840088
2017-10-01,147196.0,4.1,1.15,246.57,2.36,1.98,1.07,105.6287,2575.26001
2017-09-01,146929.0,4.2,1.15,246.445,2.2,1.8,1.03,104.0502,2519.360107
2017-08-01,146911.0,4.4,1.16,245.304,2.21,1.78,1.01,104.0475,2471.649902
2017-07-01,146727.0,4.3,1.15,244.328,2.32,1.87,1.07,104.5427,2470.300049
2017-06-01,146512.0,4.3,1.04,244.179,2.19,1.77,0.98,104.5849,2423.409912
2017-05-01,146296.0,4.4,0.91,243.926,2.3,1.84,0.89,104.4129,2411.800049
2017-04-01,146141.0,4.4,0.9,244.058,2.3,1.82,0.8,104.2721,2384.199951
2017-03-01,145944.0,4.4,0.79,243.721,2.48,2.01,0.74,103.343,2362.719971
2017-02-01,145815.0,4.6,0.66,244.028,2.42,1.9,0.52,102.6479,2363.639893
2017-01-01,145627.0,4.7,0.65,243.717,2.43,1.92,0.51,103.0366,2278.8701170000004
2016-12-01,145442.0,4.7,0.54,242.712,2.49,1.96,0.51,102.9281,2238.830078
2016-11-01,145212.0,4.7,0.41,241.993,2.14,1.6,0.45,102.0507,2198.810059
2016-10-01,145061.0,4.9,0.4,241.641,1.76,1.27,0.33,102.2485,2126.149902
2016-09-01,144916.0,5.0,0.4,241.068,1.63,1.18,0.29,102.0477,2168.27002
2016-08-01,144647.0,4.9,0.4,240.595,1.56,1.13,0.3,102.0407,2170.949951
2016-07-01,144512.0,4.8,0.39,240.111,1.5,1.07,0.3,102.1325,2173.600098
2016-06-01,144158.0,4.9,0.38,240.144,1.64,1.17,0.27,101.8747,2098.860107
2016-05-01,143891.0,4.8,0.37,239.44,1.81,1.3,0.27,101.4298,2096.949951
2016-04-01,143849.0,5.0,0.37,238.835,1.81,1.26,0.23,101.5167,2065.300049
2016-03-01,143662.0,5.0,0.36,237.99,1.89,1.38,0.29,101.4155,2059.73999
2016-02-01,143433.0,4.9,0.38,237.514,1.78,1.22,0.31,102.2225,1932.22998
2016-01-01,143170.0,4.9,0.34,237.827,2.09,1.52,0.26,102.9525,1940.2399899999998
2015-12-01,143097.0,5.0,0.24,237.761,2.24,1.7,0.23,102.1014,2043.939941
2015-11-01,142824.0,5.1,0.12,238.017,2.26,1.67,0.12,102.6866,2080.409912
2015-10-01,142587.0,5.0,0.12,237.733,2.07,1.39,0.02,103.3976,2079.360107
2015-09-01,142281.0,5.0,0.14,237.498,2.17,1.49,0.02,103.7768,1920.030029
2015-08-01,142126.0,5.1,0.14,238.033,2.17,1.54,0.07,104.1621,1972.180054
2015-07-01,142001.0,5.2,0.13,238.034,2.32,1.63,0.03,104.3243,2103.840088
2015-06-01,141699.0,5.3,0.13,237.657,2.36,1.68,0.02,103.7174,2063.110107
2015-05-01,141525.0,5.6,0.12,237.001,2.2,1.54,0.02,104.0742,2107.389893
2015-04-01,141194.0,5.4,0.12,236.222,1.94,1.35,0.02,104.5272,2085.51001
2015-03-01,140910.0,5.4,0.11,235.976,2.04,1.52,0.03,105.1464,2067.889893
2015-02-01,140839.0,5.5,0.11,235.342,1.98,1.47,0.02,105.4425,2104.5
2015-01-01,140568.0,5.7,0.11,234.747,1.88,1.37,0.03,105.9806,1994.9899899999998
2014-12-01,140377.0,5.6,0.12,236.252,2.21,1.64,0.03,106.5085,2058.899902
2014-11-01,140109.0,5.8,0.09,236.983,2.33,1.62,0.02,106.6634,2067.560059
2014-10-01,139818.0,5.7,0.09,237.43,2.3,1.55,0.02,105.8357,2018.050049
2014-09-01,139566.0,5.9,0.09,237.477,2.53,1.77,0.02,105.8138,1972.290039
2014-08-01,139257.0,6.1,0.09,237.46,2.42,1.63,0.03,105.4986,2003.369995
2014-07-01,139069.0,6.2,0.09,237.498,2.54,1.7,0.03,105.6157,1930.6700440000002
2014-06-01,138837.0,6.1,0.1,237.231,2.6,1.68,0.04,105.4081,1960.22998
2014-05-01,138511.0,6.3,0.09,236.918,2.56,1.59,0.03,105.0152,1923.569946
2014-04-01,138293.0,6.2,0.09,236.468,2.71,1.7,0.03,104.6371,1883.949951
2014-03-01,137968.0,6.7,0.08,236.028,2.72,1.64,0.05,104.5889,1872.339966
2014-02-01,137714.0,6.7,0.07,235.547,2.71,1.52,0.05,103.5917,1859.449951
2014-01-01,137548.0,6.6,0.07,235.288,2.86,1.65,0.04,102.7216,1782.589966
2013-12-01,137373.0,6.7,0.09,234.719,2.9,1.58,0.07,103.1504,1848.359985
2013-11-01,137304.0,6.9,0.08,234.1,2.72,1.37,0.07,102.8379,1805.810059
2013-10-01,137040.0,7.2,0.09,233.669,2.62,1.37,0.05,102.5371,1756.540039
2013-09-01,136815.0,7.2,0.08,233.544,2.81,1.6,0.02,102.717,1681.550049
2013-08-01,136628.0,7.2,0.08,233.456,2.74,1.52,0.04,102.1907,1632.969971
2013-07-01,136386.0,7.3,0.09,232.9,2.58,1.4,0.04,101.5204,1685.72998
2013-06-01,136274.0,7.5,0.09,232.445,2.3,1.2,0.05,101.9549,1606.280029
2013-05-01,136093.0,7.5,0.11,231.893,1.93,0.84,0.04,101.7476,1630.73999
2013-04-01,135871.0,7.6,0.15,231.797,1.76,0.71,0.06,101.6364,1597.569946
2013-03-01,135680.0,7.5,0.14,232.282,1.96,0.82,0.09,101.8114,1569.189941
2013-02-01,135541.0,7.7,0.15,232.937,1.98,0.85,0.1,101.3995,1514.680054
2013-01-01,135263.0,8.0,0.14,231.679,1.91,0.81,0.07,100.8204,1498.109985
2012-12-01,135072.0,7.9,0.16,231.221,1.72,0.7,0.07,100.9542,1426.189941
2012-11-01,134833.0,7.7,0.16,231.249,1.65,0.67,0.09,100.5991,1416.180054
2012-10-01,134677.0,7.8,0.16,231.638,1.75,0.71,0.1,100.1167,1412.160034
2012-09-01,134518.0,7.8,0.14,231.015,1.72,0.67,0.11,99.9049,1440.670044
2012-08-01,134331.0,8.1,0.13,229.918,1.68,0.71,0.1,99.856,1406.579956
2012-07-01,134159.0,8.2,0.16,228.59,1.53,0.62,0.1,100.3354,1379.319946
2012-06-01,134007.0,8.2,0.16,228.524,1.62,0.71,0.09,100.0728,1362.160034
2012-05-01,133934.0,8.2,0.16,228.713,1.8,0.76,0.09,100.0924,1310.329956
2012-04-01,133834.0,8.2,0.14,229.187,2.05,0.89,0.08,99.9006,1397.910034
2012-03-01,133752.0,8.2,0.13,228.807,2.17,1.02,0.08,99.1551,1408.469971
2012-02-01,133512.0,8.3,0.1,228.329,1.97,0.83,0.09,99.6203,1365.680054
2012-01-01,133250.0,8.3,0.08,227.842,1.97,0.84,0.03,99.3925,1312.410034
2011-12-01,132896.0,8.5,0.07,227.223,1.98,0.89,0.01,98.7876,1257.599976
2011-11-01,132694.0,8.6,0.08,227.169,2.01,0.91,0.01,98.2433,1246.959961
2011-10-01,132562.0,8.8,0.07,226.75,2.15,1.06,0.02,98.3222,1253.300049
2011-09-01,132358.0,9.0,0.08,226.597,1.98,0.9,0.01,97.6494,1131.420044
2011-08-01,132125.0,9.0,0.1,226.106,2.3,1.02,0.02,97.6731,1218.890015
2011-07-01,131999.0,9.0,0.07,225.395,3.0,1.54,0.04,97.1292,1292.280029
2011-06-01,131939.0,9.1,0.09,224.806,3.0,1.58,0.04,96.6154,1320.640015
2011-05-01,131703.0,9.0,0.09,224.806,3.17,1.84,0.04,96.3377,1345.199951
2011-04-01,131602.0,9.1,0.1,224.093,3.46,2.17,0.06,96.1187,1363.609985
2011-03-01,131288.0,9.0,0.14,223.046,3.41,2.11,0.1,96.4643,1325.829956
2011-02-01,131053.0,9.0,0.16,221.898,3.58,2.26,0.13,95.5154,1327.219971
2011-01-01,130841.0,9.1,0.17,221.187,3.39,1.99,0.15,95.9364,1286.119995
2010-12-01,130822.0,9.3,0.18,220.472,3.29,1.93,0.14,96.0599,1257.640015
2010-11-01,130750.0,9.8,0.19,219.59,2.76,1.35,0.14,95.1383,1180.550049
2010-10-01,130625.0,9.4,0.19,219.035,2.54,1.18,0.13,95.1109,1183.26001
2010-09-01,130357.0,9.5,0.19,218.275,2.65,1.41,0.15,95.3637,1141.199951
2010-08-01,130422.0,9.5,0.19,217.923,2.7,1.47,0.16,95.1448,1049.329956
2010-07-01,130427.0,9.4,0.18,217.605,3.01,1.76,0.16,94.8536,1101.599976
2010-06-01,130511.0,9.4,0.18,217.199,3.2,2.0,0.12,94.4397,1030.709961
2010-05-01,130650.0,9.6,0.2,217.29,3.42,2.18,0.16,94.2997,1089.410034
2010-04-01,130110.0,9.9,0.2,217.403,3.85,2.58,0.16,92.9436,1186.689941
