,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Postcode,Regionname,Distance,Council Area,Population,Schools,Hospitals,Sports facilities,Woolies,Coles
1,Craigieburn,67 Gateshead St,3,h,428000.0,S,Ray,28-01-2016,3064,Northern Metropolitan,20.6,Hume City Council,50347,17,1,43,1,1
2,Craigieburn,13 Pearl Dr,4,h,531000.0,S,Ray,28-01-2016,3064,Northern Metropolitan,20.6,Hume City Council,50347,17,1,43,1,1
3,Craigieburn,51 Willmott Dr,5,h,460000.0,PI,RE,28-01-2016,3064,Northern Metropolitan,20.6,Hume City Council,50347,17,1,43,1,1
4,Glen Waverley,8 Lincoln Av,3,h,925000.0,S,Harcourts,28-01-2016,3150,Eastern Metropolitan,16.7,Monash City Council,40327,21,2,51,0,0
5,Mitcham,2/28 Heatherdale Rd,3,t,825000.0,S,Noel,28-01-2016,3132,Eastern Metropolitan,17.2,Whitehorse City Council,16148,5,2,11,1,1
6,Mount Waverley,2 Rainbow Ct,4,h,1455000.0,S,Barry,28-01-2016,3149,Eastern Metropolitan,14.2,Monash City Council,33611,10,2,20,0,0
7,St Albans,45 Harmon Av,4,h,600000.0,SP,Ray,28-01-2016,3021,Western Metropolitan,14.0,Brimbank City Council,37309,18,4,32,0,0
8,Surrey Hills,1/10 Florence Rd,2,u,813000.0,S,Fletchers,28-01-2016,3127,Southern Metropolitan,10.2,Boroondara City Council,13605,5,0,15,0,0
9,Surrey Hills,999A Riversdale Rd,3,h,1205000.0,S,Fletchers,28-01-2016,3127,Southern Metropolitan,10.2,Boroondara City Council,13605,5,0,15,0,0
10,Abbotsford,25 Bloomburg St,2,h,1035000.0,S,Biggin,04-02-2016,3067,Northern Metropolitan,3.0,Yarra City Council,8184,3,0,11,0,0
11,Albion,7 Dalworth St,2,h,765000.0,SA,Barry,04-02-2016,3020,Western Metropolitan,10.5,Brimbank City Council,4731,18,1,45,0,0
12,Altona,1/123 Blyth St,2,t,720000.0,S,hockingstuart,04-02-2016,3018,Western Metropolitan,11.0,Hobsons Bay City Council,10762,4,1,25,1,1
13,Ascot Vale,42 Archer Av,3,h,895000.0,S,Nelson,04-02-2016,3032,Western Metropolitan,4.3,Moonee Valley City Council,14750,6,1,25,0,0
14,Balwyn,120/188 Whitehorse Rd,1,u,450000.0,VB,MICM,04-02-2016,3103,Southern Metropolitan,7.9,Boroondara City Council,13312,7,0,9,1,1
15,Bentleigh,11A Mortimore St,3,h,1222500.0,S,Ray,04-02-2016,3204,Southern Metropolitan,11.4,Glen Eira City Council,16153,9,2,28,1,1
16,Bentleigh East,1/9 Francesco St,3,t,775000.0,S,Stockdale,04-02-2016,3165,Southern Metropolitan,13.8,Glen Eira City Council,27635,6,1,29,0,0
17,Berwick,5 Holder Pl,4,h,743000.0,S,Eview,04-02-2016,3806,Eastern Victoria,35.2,Casey City Council,47674,12,7,23,0,0
18,Black Rock,1/527 Balcombe Rd,2,u,700000.0,PI,Buxton/Buxton,04-02-2016,3193,Southern Metropolitan,17.3,Bayside City Council,6159,6,0,26,0,0
19,Blackburn,1/13 Glen Ebor Av,3,t,900000.0,S,Barry,04-02-2016,3130,Eastern Metropolitan,13.4,Whitehorse City Council,13940,11,1,24,0,0
20,Blackburn South,2/7 Harrow St,4,h,1065000.0,S,Ray,04-02-2016,3130,Eastern Metropolitan,13.4,Whitehorse City Council,10793,11,1,24,0,0
21,Blackburn South,4 Horkings St,3,h,1230000.0,S,Fletchers,04-02-2016,3130,Eastern Metropolitan,13.4,Whitehorse City Council,10793,11,1,24,0,0
22,Broadmeadows,14 Waranga Cr,3,h,395000.0,S,Raine,04-02-2016,3047,Northern Metropolitan,14.0,Hume City Council,11970,13,1,31,0,0
23,Burwood,163 Highbury Rd,3,h,1151000.0,S,Buxton,04-02-2016,3125,Southern Metropolitan,10.4,Monash City Council,15019,5,0,22,0,0
24,Burwood,30 Station St,3,h,1755000.0,S,Buxton,04-02-2016,3125,Southern Metropolitan,10.4,Monash City Council,15019,5,0,22,0,0
25,Cairnlea,122 Cairnlea Dr,4,t,571000.0,S,YPA,04-02-2016,3023,Western Metropolitan,14.8,Brimbank City Council,9657,16,0,47,1,1
26,Carrum Downs,16 Charleville Ct,3,h,450000.0,SP,Harcourts,04-02-2016,3201,South-Eastern Metropolitan,34.9,Frankston City Council,20711,5,0,14,1,1
27,Chadstone,8B Moorong St,4,h,890000.0,VB,Purplebricks,04-02-2016,3148,Southern Metropolitan,11.7,Monash City Council,8641,2,0,7,1,2
28,Cheltenham,2/126 Centre Dandenong Rd,2,u,520000.0,SP,O'Brien,04-02-2016,3192,Southern Metropolitan,17.9,Bayside City Council,22291,5,1,23,0,0
29,Cheltenham,1/25 Judd Pde,3,u,756500.0,S,Eview,04-02-2016,3192,Southern Metropolitan,17.9,Bayside City Council,22291,5,1,23,0,0
30,Clayton South,20 Glenmorgan Cl,3,h,782000.0,S,LJ,04-02-2016,3169,South-Eastern Metropolitan,17.5,Kingston City Council,12642,6,0,13,0,0
31,Coburg,8 Watchtower Rd,3,h,675000.0,PI,Walshe,04-02-2016,3058,Northern Metropolitan,6.7,Darebin City Council,26185,12,2,33,1,2
32,Cranbourne East,82 Bradford Dr,4,h,530500.0,S,Munn,04-02-2016,3977,South-Eastern Metropolitan,34.7,Casey City Council,16195,19,1,61,0,0
33,Croydon,14 James Rd,3,h,841000.0,S,Barry,04-02-2016,3136,Eastern Metropolitan,23.0,Maroondah City Council,26946,12,1,56,1,1
34,Dandenong,13 Hopetoun St,3,h,565000.0,S,O'Brien,04-02-2016,3175,South-Eastern Metropolitan,24.7,Greater Dandenong City Council,29906,15,5,47,1,2
