,SUBURB,ADDRESS,bedroom_count,Type,dwelling_type,sold_price,Method,agency_name,Date Sold,postcode,Population,Distance from CBD,Hospital,School,Super Market,latitude,longitude
1,ABBOTSFORD,"6/431 Great North Road, Abbotsford",2,u,Apartment / Unit / Flat,735000.0,Auction,PRB Real Estate,14/05/2018,2046,5377,7.4,0,1,0,-33.8543167,151.12965400000002
2,ALEXANDRIA,"64/57 Ralph Street, Alexandria",2,u,Apartment / Unit / Flat,785000.0,Private Treaty,The Agency Eastern Suburbs,14/05/2018,2015,8264,3.5,0,3,0,-33.9193153,151.1979
3,ALEXANDRIA,"64/57 Ralph Street, Alexandria",2,u,Apartment / Unit / Flat,785000.0,Private Treaty,The Agency Eastern Suburbs,14/05/2018,2015,8264,3.5,0,3,0,-33.9193153,151.1979
4,ASHFIELD,"208/425 Liverpool Road, Ashfield",2,u,Apartment / Unit / Flat,795000.0,Private Treaty,McGrath Leichhardt,14/05/2018,2131,23839,7.9,0,6,0,-33.887859999999996,151.11811799999998
5,BEACON HILL,"56 Brooker Avenue, Beacon Hill",3,h,House,1200000.0,Private Treaty,One Agency Hazlett & Poole,14/05/2018,2100,7456,13.7,0,1,0,-33.7475357,151.25499
6,BELLEVUE HILL,"56 Cranbrook Road, Bellevue Hill",5,h,House,6575000.0,Auction,Sydney Sotheby's International Realty,14/05/2018,2023,10719,5.3,0,8,0,-33.876872999999996,151.253937
7,BELLEVUE HILL,"7 Vivian  Street, Bellevue Hill",6,h,House,6200000.0,others,Phillips Pantzer Donnelley,14/05/2018,2023,10719,5.3,0,8,0,-33.881896999999995,151.256531
8,BELROSE,"54 Yarrabin  Street, Belrose",3,h,House,1480000.0,Private Treaty,Parnell Partners Estate Agents ,14/05/2018,2085,8775,14.2,0,6,0,-33.736412,151.2114
9,BEROWRA,"89 Bambil Road, Berowra",5,h,House,1450000.0,Private Treaty,McGrath Berowra,14/05/2018,2081,4722,27.6,0,2,0,-33.6337357,151.141983
10,BLACKTOWN,"6/2 Bruce Street, Blacktown",2,u,Apartment / Unit / Flat,435000.0,Private Treaty,Starr Partners Blacktown,14/05/2018,2148,47172,29.6,1,20,0,-33.7701263,150.916061
11,BLACKTOWN,"Unit 46/5 Tenby St, Blacktown",3,t,Townhouse,540000.0,Private Treaty,Andrew Merton Real Estate,14/05/2018,2148,47172,29.6,1,20,0,-33.79036,150.910233
12,BONDI BEACH,"20/178 Campbell Parade, Bondi Beach",3,u,Apartment / Unit / Flat,4300000.0,others,Sydney Sotheby's International Realty,14/05/2018,2026,11653,6.8,0,3,0,-33.889686600000005,151.275055
13,BONDI BEACH,"9/352 Bondi Road, Bondi Beach",2,u,Apartment / Unit / Flat,1380000.0,others,Phillips Pantzer Donnelley,14/05/2018,2026,11653,6.8,0,3,0,-33.89526,151.2722
14,BONDI JUNCTION,"40 Kenilworth Street, Bondi Junction",5,h,House,2800000.0,Auction,Sydney Sotheby's International Realty,14/05/2018,2022,9440,4.7,0,2,0,-33.8908844,151.258453
15,CAMBRIDGE GARDENS,Cambridge Gardens,4,h,House,710000.0,Private Treaty,Response Real Estate Penrith,14/05/2018,2747,2017,47.2,0,0,3,-33.738,150.721
16,CAMBRIDGE PARK,"72 College Street, Cambridge Park",2,h,House,627500.0,Private Treaty,PRDnationwide Penrith,14/05/2018,2747,6727,46.3,0,3,0,-33.7505379,150.722
